step,task_id,method,l1_mass_gap,linf_mass_gap,num_uncovered_significant_classes,mmd2
1000,1,streamcore,1.1102230246251565e-16,1.1102230246251565e-16,0,0.0007856443259353085
1000,1,reservoir,1.1102230246251565e-16,1.1102230246251565e-16,0,0.0027469274178215652
1000,1,sliding_window,1.1102230246251565e-16,1.1102230246251565e-16,0,0.003532909783883542
2000,1,streamcore,0.026094918913782517,0.013047459456891286,0,0.000778535323364693
2000,1,reservoir,0.12,0.06000000000000005,0,0.0027525855942980293
2000,1,sliding_window,0.9999999999999999,0.5,1,0.03976060167456508
3000,2,streamcore,0.05434307800606519,0.027171539003032597,0,0.0009703114630223997
3000,2,reservoir,0.053333333333333344,0.026666666666666727,0,0.0028895250575307063
3000,2,sliding_window,1.333333333333333,0.6666666666666665,2,0.0539523209417484
4000,2,streamcore,0.07620075196664444,0.029158733930935377,0,0.0010515459775447544
4000,2,reservoir,0.18000000000000008,0.09,0,0.0035698505160212113
4000,2,sliding_window,1.5,0.7499999999999999,3,0.04302670417173726
5000,3,streamcore,0.11347886672646948,0.03654578395642055,0,0.0010428518769665107
5000,3,reservoir,0.20000000000000012,0.07000000000000003,0,0.00369781567612093
5000,3,sliding_window,1.5999999999999999,0.7999999999999998,4,0.046211630725286224
6000,3,streamcore,0.16206322015311653,0.04855475838022337,0,0.0010930923657036518
6000,3,reservoir,0.2600000000000002,0.06666666666666667,0,0.003944089270823015
6000,3,sliding_window,1.6666666666666665,0.8333333333333333,5,0.03749830194984061
7000,4,streamcore,0.16704254513734007,0.05211360276543037,0,0.0010771334942070165
7000,4,reservoir,0.262857142857143,0.05285714285714285,0,0.004000099952625957
7000,4,sliding_window,1.7142857142857142,0.857142857142857,6,0.05573202814789324
8000,4,streamcore,0.18746384110982267,0.05331095538140676,0,0.0010925075155712172
8000,4,reservoir,0.21000000000000008,0.04500000000000001,0,0.0036555465233912843
8000,4,sliding_window,1.75,0.8749999999999999,7,0.04326824493399861
9000,5,streamcore,0.19074495966292979,0.04160694484357369,0,0.0010933153637426862
9000,5,reservoir,0.24888888888888883,0.0488888888888889,0,0.004226215529653743
9000,5,sliding_window,1.7777777777777777,0.8888888888888888,8,0.07049361720014835
10000,5,streamcore,0.20011303484716644,0.04109730799228675,0,0.0010616616176112315
10000,5,reservoir,0.2599999999999999,0.07,0,0.004009781966854864
10000,5,sliding_window,1.7999999999999998,0.8999999999999999,9,0.1003936453705061
